trial,target_g,time_s,raw,voltage
1,25,0.000,688,0.0346
1,25,0.052,320,0.0161
1,25,0.103,816,0.0411
1,25,0.154,336,0.0169
1,25,0.205,688,0.0346
1,25,0.256,320,0.0161
1,25,0.307,208,0.0105
1,25,0.358,368,0.0185
1,25,0.410,256,0.0129
1,25,0.461,848,0.0427
1,25,0.512,256,0.0129
1,25,0.563,704,0.0354
1,25,0.615,320,0.0161
1,25,0.666,320,0.0161
1,25,0.717,320,0.0161
1,25,0.768,176,0.0089
1,25,0.819,800,0.0403
1,25,0.870,336,0.0169
1,25,0.921,848,0.0427
1,25,0.973,320,0.0161
1,25,1.024,416,0.0209
1,25,1.075,256,0.0129
1,25,1.126,304,0.0153
1,25,1.177,304,0.0153
1,25,1.228,320,0.0161
1,25,1.279,864,0.0435
1,25,1.331,320,0.0161
1,25,1.382,672,0.0338
1,25,1.433,336,0.0169
1,25,1.484,336,0.0169
1,25,1.536,160,0.0081
1,25,1.587,320,0.0161
1,25,1.638,896,0.0451
1,25,1.690,320,0.0161
1,25,1.741,576,0.0290
1,25,1.792,320,0.0161
1,25,1.843,336,0.0169
1,25,1.895,320,0.0161
1,25,1.946,304,0.0153
1,25,1.997,864,0.0435
1,25,2.048,320,0.0161
1,25,2.100,784,0.0395
1,25,2.151,304,0.0153
1,25,2.202,320,0.0161
1,25,2.253,384,0.0193
1,25,2.305,304,0.0153
1,25,2.356,768,0.0387
1,25,2.407,224,0.0113
1,25,2.458,672,0.0338
1,25,2.510,208,0.0105
1,25,2.561,512,0.0258
1,25,2.612,336,0.0169
1,25,2.663,352,0.0177
1,25,2.715,416,0.0209
1,25,2.766,320,0.0161
1,25,2.817,832,0.0419
1,25,2.868,320,0.0161
1,25,2.920,640,0.0322
1,25,2.971,320,0.0161
2,25,0.000,752,0.0379
2,25,0.052,336,0.0169
2,25,0.103,320,0.0161
2,25,0.154,336,0.0169
2,25,0.206,352,0.0177
2,25,0.257,1024,0.0516
2,25,0.308,320,0.0161
2,25,0.359,832,0.0419
2,25,0.410,320,0.0161
2,25,0.461,640,0.0322
2,25,0.512,320,0.0161
2,25,0.564,336,0.0169
2,25,0.615,400,0.0201
2,25,0.666,352,0.0177
